"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"89",2019,3,2.7875,2.668375,2.769875,2.835875,2.539625,2.43575,2.55125,2.762625,2.843625,2.45075
"90",2020,3,1.98766666666667,1.92988888888889,1.95888888888889,2.10188888888889,1.81311111111111,1.65422222222222,1.86888888888889,1.963,2.11877777777778,1.62066666666667
"91",1990,4,1.218,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1991,4,1.10411111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1992,4,1.12833333333333,1.11766666666667,NA,NA,NA,1.11766666666667,NA,NA,NA,NA
"94",1993,4,1.06877777777778,1.05477777777778,1.084,1.08,1.03866666666667,1.073,NA,NA,NA,NA
"95",1994,4,1.133,1.09666666666667,1.13277777777778,1.13822222222222,1.072,1.10288888888889,NA,NA,NA,NA
"96",1995,4,1.14022222222222,1.16044444444444,1.23611111111111,1.21411111111111,1.11655555555556,1.144,NA,NA,NA,NA
"97",1996,4,1.218,1.19922222222222,1.27033333333333,1.24466666666667,1.16233333333333,1.18788888888889,NA,NA,NA,NA
"98",1997,4,1.198875,1.1795,1.253375,1.2295,1.138875,1.159125,NA,NA,NA,NA
"99",1998,4,1.039,1.00366666666667,1.05466666666667,1.05622222222222,0.964777777777778,0.976222222222222,NA,NA,NA,NA
"100",1999,4,1.19266666666667,1.14533333333333,1.20888888888889,1.195,1.10522222222222,1.11822222222222,NA,NA,NA,NA
"101",2000,4,1.51255555555556,1.52466666666667,1.62055555555556,1.60277777777778,1.46311111111111,1.46866666666667,NA,NA,1.67788888888889,1.46655555555556
"102",2001,4,1.42066666666667,1.40477777777778,1.52288888888889,1.504,1.29488888888889,1.30177777777778,NA,NA,1.57533333333333,1.30455555555556
"103",2002,4,1.39644444444444,1.36066666666667,1.41966666666667,1.41266666666667,1.30444444444444,1.30444444444444,NA,NA,1.49466666666667,1.30555555555556
"104",2003,4,1.566375,1.52975,1.57175,1.54975,1.502625,1.47025,1.553125,1.55725,1.62975,1.459625
"105",2004,4,1.89277777777778,1.88822222222222,1.93988888888889,1.94277777777778,1.832,1.79433333333333,1.86333333333333,1.91933333333333,2.04433333333333,1.782
"106",2005,4,2.399,2.39255555555556,2.43822222222222,2.426,2.35388888888889,2.31322222222222,2.39,2.43666666666667,2.50244444444444,2.30988888888889
"107",2006,4,2.96777777777778,2.96822222222222,3.02633333333333,3.01577777777778,2.91511111111111,2.85733333333333,2.93855555555556,2.99822222222222,3.11188888888889,2.84777777777778
"108",2007,4,2.88511111111111,2.84611111111111,2.90066666666667,2.87411111111111,2.80888888888889,2.78344444444444,2.833,2.82111111111111,3.02522222222222,2.78133333333333
"109",2008,4,3.92,3.897,3.944375,3.93425,3.855,3.787125,3.897375,3.869875,4.104625,3.778375
