"state","variable","value"
"Mississippi","2004",34.8
"New Hampshire","2004",38.7
"New Jersey","2004",37.7
"New York","2004",36.9
"North Carolina","2004",36.2
"Oregon","2004",37.3
"Rhode Island","2004",37.7
"South Carolina","2004",36.5
"Texas","2004",33
"Virginia","2004",36.5
"Washington","2004",36.3
"United States","2005",36.3
"Alabama","2005",37
"Alaska","2005",33.5
"California","2005",34.4
"Connecticut","2005",38.8
"Delaware","2005",37.5
"Florida","2005",39.8
"Georgia","2005",34.4
"Hawaii","2005",37.5
"Louisiana","2005",35.1
"Maine","2005",40.7
"Maryland","2005",37.1
"Massachusetts","2005",38
"Mississippi","2005",35.1
"New Hampshire","2005",39
"New Jersey","2005",37.9
"New York","2005",37.1
"North Carolina","2005",36.4
"Oregon","2005",37.5
"Rhode Island","2005",37.9
"South Carolina","2005",36.7
"Texas","2005",33.1
"Virginia","2005",36.6
"Washington","2005",36.5
"United States","2006",36.5
"Alabama","2006",37.1
"Alaska","2006",33.6
"California","2006",34.6
"Connecticut","2006",39.1
"Delaware","2006",37.8
"Florida","2006",39.8
"Georgia","2006",34.6
"Hawaii","2006",37.6
"Louisiana","2006",35.9
"Maine","2006",41.2
"Maryland","2006",37.2
"Massachusetts","2006",38.2
"Mississippi","2006",35.4
"New Hampshire","2006",39.4
"New Jersey","2006",38.1
"New York","2006",37.3
"North Carolina","2006",36.6
"Oregon","2006",37.7
"Rhode Island","2006",38.3
"South Carolina","2006",37
"Texas","2006",33.2
"Virginia","2006",36.8
"Washington","2006",36.7
"United States","2007",36.7
"Alabama","2007",37.3
"Alaska","2007",33.8
"California","2007",34.7
"Connecticut","2007",39.3
"Delaware","2007",38
"Florida","2007",40
"Georgia","2007",34.8
"Hawaii","2007",38
"Louisiana","2007",35.9
"Maine","2007",41.6
"Maryland","2007",37.4
"Massachusetts","2007",38.4
"Mississippi","2007",35.5
"New Hampshire","2007",39.9
"New Jersey","2007",38.3
"New York","2007",37.6
"North Carolina","2007",36.9
"Oregon","2007",37.8
"Rhode Island","2007",38.6
"South Carolina","2007",37.2
"Texas","2007",33.3
"Virginia","2007",37
"Washington","2007",37
"United States","2008",36.9
"Alabama","2008",37.5
"Alaska","2008",33.8
"California","2008",34.9
"Connecticut","2008",39.5
"Delaware","2008",38.3
"Florida","2008",40.3
"Georgia","2008",35
"Hawaii","2008",38.2
"Louisiana","2008",35.9
"Maine","2008",42
"Maryland","2008",37.7
"Massachusetts","2008",38.7
"Mississippi","2008",35.7
"New Hampshire","2008",40.3
"New Jersey","2008",38.5
"New York","2008",37.7
"North Carolina","2008",37
"Oregon","2008",38
"Rhode Island","2008",38.8
"South Carolina","2008",37.5
"Texas","2008",33.4
"Virginia","2008",37.2
"Washington","2008",37.1
"United States","2009",37.1
