species,year,season,harvest.n
SPANISH MACKEREL,1985,2,30
SPANISH MACKEREL,1986,1,2524
SPANISH MACKEREL,1986,2,0
SPANISH MACKEREL,1987,1,8176
SPANISH MACKEREL,1987,2,0
SPANISH MACKEREL,1988,1,1385
SPANISH MACKEREL,1988,2,0
SPANISH MACKEREL,1989,1,2543
SPANISH MACKEREL,1989,2,0
SPANISH MACKEREL,1990,1,3213
SPANISH MACKEREL,1990,2,0
SPANISH MACKEREL,1991,1,9947
SPANISH MACKEREL,1991,2,232
SPANISH MACKEREL,1992,1,2352
SPANISH MACKEREL,1992,2,245
SPANISH MACKEREL,1993,1,1640
SPANISH MACKEREL,1993,2,0
SPANISH MACKEREL,1994,1,5416
SPANISH MACKEREL,1994,2,13
SPANISH MACKEREL,1995,1,8486
SPANISH MACKEREL,1995,2,0
SPANISH MACKEREL,1996,1,9112
SPANISH MACKEREL,1996,2,0
SPANISH MACKEREL,1997,1,5107
SPANISH MACKEREL,1997,2,364
SPANISH MACKEREL,1998,1,5571
SPANISH MACKEREL,1998,2,0
SPANISH MACKEREL,1999,1,4626
SPANISH MACKEREL,1999,2,0
SPANISH MACKEREL,2000,1,4568
SPANISH MACKEREL,2000,2,813
SPANISH MACKEREL,2001,1,1473
SPANISH MACKEREL,2001,2,0
SPANISH MACKEREL,2002,1,4225
SPANISH MACKEREL,2002,2,354
SPANISH MACKEREL,2003,1,3831
SPANISH MACKEREL,2003,2,740
SPANISH MACKEREL,2004,1,8336
SPANISH MACKEREL,2004,2,0
SPANISH MACKEREL,2005,1,8013
SPANISH MACKEREL,2005,2,37
SPANISH MACKEREL,2006,1,9581
SPANISH MACKEREL,2006,2,683
SPANISH MACKEREL,2007,1,7115
SPANISH MACKEREL,2007,2,17
SPANISH MACKEREL,2008,1,2537
SPANISH MACKEREL,2008,2,30
SPANISH MACKEREL,2009,1,4976
SPANISH MACKEREL,2009,2,0
SPANISH MACKEREL,2010,1,11439
SPANISH MACKEREL,2010,2,0
SPANISH MACKEREL,2011,1,6690
SPANISH MACKEREL,2011,2,914
SPANISH MACKEREL,2012,1,4355
SPANISH MACKEREL,2012,2,320
SPANISH MACKEREL,2013,1,1542
SPANISH MACKEREL,2013,2,0
SPANISH MACKEREL,2014,1,2325
SPANISH MACKEREL,2014,2,193
SPANISH MACKEREL,2015,1,2409
SPANISH MACKEREL,2015,2,0
SPANISH MACKEREL,2016,1,4401
SPANISH MACKEREL,2016,2,39
