s,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,2012,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,40309,28.9
FINAL,2012,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,84,47.8
FINAL,2012,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,49976,71.2
FINAL,2013,JANUARY/FEBRUARY,FLORIDA,RED PORGY,29470,74.6
FINAL,2013,MARCH/APRIL,ALABAMA,RED PORGY,4019,26
FINAL,2013,MARCH/APRIL,FLORIDA,RED PORGY,47424,17.9
FINAL,2013,MAY/JUNE,ALABAMA,RED PORGY,14384,48.9
FINAL,2013,MAY/JUNE,FLORIDA,RED PORGY,224443,44.3
FINAL,2013,JULY/AUGUST,ALABAMA,RED PORGY,17686,63.5
FINAL,2013,JULY/AUGUST,FLORIDA,RED PORGY,189719,15.9
FINAL,2013,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,1923,56.5
FINAL,2013,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,155725,33.4
FINAL,2013,SEPTEMBER/OCTOBER,LOUISIANA,RED PORGY,4884,30.9
FINAL,2013,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,17065,48.7
FINAL,2014,JANUARY/FEBRUARY,ALABAMA,RED PORGY,4496,67.8
FINAL,2014,JANUARY/FEBRUARY,FLORIDA,RED PORGY,21568,99.1
FINAL,2014,MARCH/APRIL,ALABAMA,RED PORGY,3872,43.3
FINAL,2014,MARCH/APRIL,FLORIDA,RED PORGY,74596,67.4
FINAL,2014,MAY/JUNE,ALABAMA,RED PORGY,30809,41.5
FINAL,2014,MAY/JUNE,FLORIDA,RED PORGY,207337,20.1
FINAL,2014,JULY/AUGUST,ALABAMA,RED PORGY,31891,59.3
FINAL,2014,JULY/AUGUST,FLORIDA,RED PORGY,272562,31.1
FINAL,2014,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,2085,69.6
FINAL,2014,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,18519,36.1
FINAL,2014,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1052,48.7
FINAL,2015,JANUARY/FEBRUARY,ALABAMA,RED PORGY,1722,120.2
FINAL,2015,JANUARY/FEBRUARY,FLORIDA,RED PORGY,590,61.6
FINAL,2015,MARCH/APRIL,ALABAMA,RED PORGY,3570,71.4
FINAL,2015,MARCH/APRIL,FLORIDA,RED PORGY,56581,40.8
FINAL,2015,MAY/JUNE,ALABAMA,RED PORGY,5444,53.5
FINAL,2015,MAY/JUNE,FLORIDA,RED PORGY,206342,40.2
FINAL,2015,JULY/AUGUST,ALABAMA,RED PORGY,60420,29.3
FINAL,2015,JULY/AUGUST,FLORIDA,RED PORGY,185801,28.7
FINAL,2015,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,698,61.7
FINAL,2015,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,75890,25.6
FINAL,2015,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,167,51.1
FINAL,2015,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,11896,47
FINAL,2016,JANUARY/FEBRUARY,ALABAMA,RED PORGY,34296,95.4
FINAL,2016,JANUARY/FEBRUARY,FLORIDA,RED PORGY,26000,49.6
FINAL,2016,MARCH/APRIL,ALABAMA,RED PORGY,2928,54.8
FINAL,2016,MARCH/APRIL,FLORIDA,RED PORGY,37585,42.4
FINAL,2016,MAY/JUNE,ALABAMA,RED PORGY,24444,47.5
FINAL,2016,MAY/JUNE,FLORIDA,RED PORGY,126292,27.6
FINAL,2016,JULY/AUGUST,ALABAMA,RED PORGY,5903,52.2
FINAL,2016,JULY/AUGUST,FLORIDA,RED PORGY,145974,20.4
FINAL,2016,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,2176,77.7
FINAL,2016,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,66964,39.2
FINAL,2016,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,17371,39.5
FINAL,2017,JANUARY/FEBRUARY,FLORIDA,RED PORGY,45026,75
FINAL,2017,MARCH/APRIL,ALABAMA,RED PORGY,3458,57.4
FINAL,2017,MARCH/APRIL,FLORIDA,RED PORGY,27743,69.1
FINAL,2017,MAY/JUNE,ALABAMA,RED PORGY,27986,64.4
FINAL,2017,MAY/JUNE,FLORIDA,RED PORGY,133112,21.4
FINAL,2017,JULY/AUGUST,ALABAMA,RED PORGY,2237,67.5
FINAL,2017,JULY/AUGUST,FLORIDA,RED PORGY,97761,30.4
FINAL,2017,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,89330,42.1
FINAL,2017,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,5299,33.8
FINAL,2018,JANUARY/FEBRUARY,FLORIDA,RED PORGY,3979,55.3
FINAL,2018,MARCH/APRIL,ALABAMA,RED PORGY,2709,101.9
FINAL,2018,MARCH/APRIL,FLORIDA,RED PORGY,28167,24.2
FINAL,2018,MAY/JUNE,ALABAMA,RED PORGY,3831,73.1
FINAL,2018,MAY/JUNE,FLORIDA,RED PORGY,82186,47.5
FINAL,2018,JULY/AUGUST,ALABAMA,RED PORGY,1827,57
FINAL,2018,JULY/AUGUST,FLORIDA,RED PORGY,97778,27.9
FINAL,2018,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,4815,88.4
FINAL,2018,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,9620,46
FINAL,2018,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,4643,94.2
FINAL,2018,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,3814,83.8
FINAL,2019,JANUARY/FEBRUARY,FLORIDA,RED PORGY,555,57.4
FINAL,2019,MARCH/APRIL,ALABAMA,RED PORGY,2688,55.1
FINAL,2019,MARCH/APRIL,FLORIDA,RED PORGY,49090,22.2
FINAL,2019,MAY/JUNE,ALABAMA,RED PORGY,8329,35.1
FINAL,2019,MAY/JUNE,FLORIDA,RED PORGY,34687,33.1
FINAL,2019,JULY/AUGUST,ALABAMA,RED PORGY,13493,43.2
FINAL,2019,JULY/AUGUST,FLORIDA,RED PORGY,90161,35
FINAL,2019,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,1037,98.7
FINAL,2019,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,16557,31.3
FINAL,2019,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,7781,47.7
PRELIMINARY,2020,JANUARY/FEBRUARY,FLORIDA,RED PORGY,6672,74.9
